K,H,W,C,R,Th,Tw,Tk,Wh,Ww,Wk,Bh,Bw,Bk,Time
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 1, 64, 1, 16, 2, 1, 12, 1, 16.385248 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 1, 64, 1, 32, 1, 2, 6, 1, 9.144384 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 1, 64, 1, 32, 1, 1, 6, 2, 16.385599 
512, 192, 192, 128, 3, 1, 2, 2, 1, 4, 8, 1, 24, 1, 12.896000 
512, 192, 192, 128, 3, 1, 2, 2, 1, 8, 4, 1, 12, 1, 13.697696 
512, 192, 192, 128, 3, 1, 2, 2, 1, 8, 4, 2, 12, 1, 12.772448 
512, 192, 192, 128, 3, 1, 2, 2, 1, 16, 2, 2, 6, 1, 12.183392 
512, 192, 192, 128, 3, 1, 2, 2, 1, 16, 2, 4, 6, 1, 12.321728 
512, 192, 192, 128, 3, 1, 2, 2, 1, 16, 2, 1, 6, 2, 13.697216 
512, 192, 192, 128, 3, 1, 2, 2, 1, 16, 2, 1, 6, 4, 12.878656 
512, 192, 192, 128, 3, 1, 2, 2, 1, 32, 1, 2, 3, 1, 15.706272 
512, 192, 192, 128, 3, 1, 2, 2, 1, 32, 1, 3, 3, 1, 14.371584 
512, 192, 192, 128, 3, 1, 2, 2, 1, 32, 1, 6, 3, 1, 17.566561 
512, 192, 192, 128, 3, 1, 2, 2, 1, 32, 1, 2, 3, 2, 12.179968 
512, 192, 192, 128, 3, 1, 2, 2, 1, 32, 1, 2, 3, 4, 12.801440 
512, 192, 192, 128, 3, 1, 2, 2, 1, 32, 1, 1, 3, 8, 12.875552 
512, 192, 192, 128, 3, 1, 2, 4, 1, 4, 8, 1, 24, 1, 10.287712 
512, 192, 192, 128, 3, 1, 2, 4, 1, 16, 2, 1, 6, 1, 8.082208 
512, 192, 192, 128, 3, 1, 2, 4, 1, 16, 2, 2, 6, 1, 7.856064 
512, 192, 192, 128, 3, 1, 2, 4, 1, 16, 2, 4, 6, 1, 7.602080 
512, 192, 192, 128, 3, 1, 2, 4, 1, 32, 1, 1, 3, 1, 11.246944 
512, 192, 192, 128, 3, 1, 2, 4, 1, 32, 1, 2, 3, 1, 9.668800 
512, 192, 192, 128, 3, 1, 2, 4, 1, 32, 1, 4, 3, 1, 8.909600 
512, 192, 192, 128, 3, 1, 2, 4, 1, 32, 1, 1, 3, 2, 8.080928 
512, 192, 192, 128, 3, 1, 2, 4, 1, 32, 1, 2, 3, 2, 7.853184 
512, 192, 192, 128, 3, 1, 2, 4, 1, 32, 1, 1, 3, 4, 10.353056 
512, 192, 192, 128, 3, 1, 2, 4, 1, 32, 1, 2, 3, 4, 10.270368 
512, 192, 192, 128, 3, 1, 2, 8, 1, 8, 4, 1, 12, 1, 8.952704 
512, 192, 192, 128, 3, 1, 2, 8, 1, 8, 4, 2, 12, 1, 9.013248 
512, 192, 192, 128, 3, 1, 2, 8, 1, 8, 4, 1, 12, 2, 16.366848 
512, 192, 192, 128, 3, 1, 2, 8, 1, 16, 2, 1, 6, 1, 5.958912 
512, 192, 192, 128, 3, 1, 2, 8, 1, 16, 2, 2, 6, 1, 5.862144 
512, 192, 192, 128, 3, 1, 2, 8, 1, 16, 2, 4, 6, 1, 5.520832 
512, 192, 192, 128, 3, 1, 2, 8, 1, 16, 2, 1, 6, 4, 16.365664 
512, 192, 192, 128, 3, 1, 2, 8, 1, 32, 1, 1, 3, 1, 7.545376 
512, 192, 192, 128, 3, 1, 2, 8, 1, 32, 1, 3, 3, 1, 6.579648 
512, 192, 192, 128, 3, 1, 2, 8, 1, 32, 1, 8, 3, 1, 6.478336 
512, 192, 192, 128, 3, 1, 2, 8, 1, 32, 1, 2, 3, 2, 5.861376 
512, 192, 192, 128, 3, 1, 2, 8, 1, 32, 1, 1, 3, 4, 8.952672 
512, 192, 192, 128, 3, 1, 2, 8, 1, 32, 1, 2, 3, 4, 9.020128 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 2, 16, 1, 16, 2, 1, 6, 1, 5.200064 
512, 192, 192, 128, 3, 1, 2, 16, 1, 16, 2, 3, 6, 1, 5.288736 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 2, 16, 1, 16, 2, 1, 6, 2, 15.928192 
